intervalos,canal1,canal2,canal3,canal4,canal5
0,0,0,0,0,518
1,0,0,0,0,518
2,0,0,0,0,515
3,0,0,0,0,515
4,0,0,0,0,518
5,0,0,0,0,519
6,0,0,0,0,523
7,0,0,0,0,524
8,0,0,0,0,524
9,0,0,0,0,522
10,0,0,0,0,517
11,0,0,0,0,514
12,0,0,0,0,515
13,0,0,0,0,515
14,0,0,0,0,514
15,0,0,0,0,513
0,0,0,0,0,515
1,0,0,0,0,522
2,0,0,0,0,522
3,0,0,0,0,527
4,0,0,0,0,524
5,0,0,0,0,516
6,0,0,0,0,510
7,0,0,0,0,508
8,0,0,0,0,504
9,0,0,0,0,504
10,0,0,0,0,504
11,0,0,0,0,506
12,0,0,0,0,505
13,0,0,0,0,509
14,0,0,0,0,551
15,0,0,0,0,554
0,0,0,0,0,512
1,0,0,0,0,446
2,0,0,0,0,199
3,0,0,0,0,345
4,0,0,0,0,451
5,0,0,0,0,534
6,0,0,0,0,585
7,0,0,0,0,592
8,0,0,0,0,589
9,0,0,0,0,583
10,0,0,0,0,578
11,0,0,0,0,576
12,0,0,0,0,571
13,0,0,0,0,568
14,0,0,0,0,568
15,0,0,0,0,566
0,0,0,0,0,564
1,0,0,0,0,565
2,0,0,0,0,569
3,0,0,0,0,571
4,0,0,0,0,571
5,0,0,0,0,568
6,0,0,0,0,559
7,0,0,0,0,547
8,0,0,0,0,532
9,0,0,0,0,519
10,0,0,0,0,502
11,0,0,0,0,486
12,0,0,0,0,472
13,0,0,0,0,460
14,0,0,0,0,451
15,0,0,0,0,449
0,0,0,0,0,448
1,0,0,0,0,448
2,0,0,0,0,453
3,0,0,0,0,455
4,0,0,0,0,462
5,0,0,0,0,467
6,0,0,0,0,471
7,0,0,0,0,472
8,0,0,0,0,478
9,0,0,0,0,481
10,0,0,0,0,483
11,0,0,0,0,487
12,0,0,0,0,489
13,0,0,0,0,488
14,0,0,0,0,490
15,0,0,0,0,492
0,0,0,0,0,487
1,0,0,0,0,487
2,0,0,0,0,484
3,0,0,0,0,484
4,0,0,0,0,485
5,0,0,0,0,488
6,0,0,0,0,488
7,0,0,0,0,489
8,0,0,0,0,488
9,0,0,0,0,489
10,0,0,0,0,491
11,0,0,0,0,493
12,0,0,0,0,495
13,0,0,0,0,496
14,0,0,0,0,497
15,0,0,0,0,495
0,0,0,0,0,498
1,0,0,0,0,501
2,0,0,0,0,502
3,0,0,0,0,501
4,0,0,0,0,502
5,0,0,0,0,503
6,0,0,0,0,519
7,0,0,0,0,527
8,0,0,0,0,529
9,0,0,0,0,527
10,0,0,0,0,524
11,0,0,0,0,521
12,0,0,0,0,520
13,0,0,0,0,520
14,0,0,0,0,519
15,0,0,0,0,515
0,0,0,0,0,513
1,0,0,0,0,516
2,0,0,0,0,515
3,0,0,0,0,519
4,0,0,0,0,520
5,0,0,0,0,518
6,0,0,0,0,518
7,0,0,0,0,513
8,0,0,0,0,504
9,0,0,0,0,504
10,0,0,0,0,504
11,0,0,0,0,504
12,0,0,0,0,503
13,0,0,0,0,504
14,0,0,0,0,505
15,0,0,0,0,507
0,0,0,0,0,526
1,0,0,0,0,569
2,0,0,0,0,540
3,0,0,0,0,538
4,0,0,0,0,385
5,0,0,0,0,267
6,0,0,0,0,396
7,0,0,0,0,461
8,0,0,0,0,520
9,0,0,0,0,564
10,0,0,0,0,577
11,0,0,0,0,575
12,0,0,0,0,572
13,0,0,0,0,567
14,0,0,0,0,559
15,0,0,0,0,555
0,0,0,0,0,550
1,0,0,0,0,549
2,0,0,0,0,549
3,0,0,0,0,548
4,0,0,0,0,548
5,0,0,0,0,549
6,0,0,0,0,551
7,0,0,0,0,551
8,0,0,0,0,551
9,0,0,0,0,543
10,0,0,0,0,532
11,0,0,0,0,521
12,0,0,0,0,508
13,0,0,0,0,494
14,0,0,0,0,483
15,0,0,0,0,477
0,0,0,0,0,474
1,0,0,0,0,472
2,0,0,0,0,473
3,0,0,0,0,473
4,0,0,0,0,476
5,0,0,0,0,480
6,0,0,0,0,481
7,0,0,0,0,485
8,0,0,0,0,491
9,0,0,0,0,494
10,0,0,0,0,496
11,0,0,0,0,502
12,0,0,0,0,503
13,0,0,0,0,505
14,0,0,0,0,506
15,0,0,0,0,504
0,0,0,0,0,499
1,0,0,0,0,499
2,0,0,0,0,498
3,0,0,0,0,498
4,0,0,0,0,497
5,0,0,0,0,497
6,0,0,0,0,499
7,0,0,0,0,499
8,0,0,0,0,500
9,0,0,0,0,500
10,0,0,0,0,503
11,0,0,0,0,502
12,0,0,0,0,502
13,0,0,0,0,503
14,0,0,0,0,506
15,0,0,0,0,507
0,0,0,0,0,505
1,0,0,0,0,506
2,0,0,0,0,507
3,0,0,0,0,508
4,0,0,0,0,505
5,0,0,0,0,504
6,0,0,0,0,508
7,0,0,0,0,509
8,0,0,0,0,511
9,0,0,0,0,508
10,0,0,0,0,508
11,0,0,0,0,510
12,0,0,0,0,508
13,0,0,0,0,511
14,0,0,0,0,512
15,0,0,0,0,513
0,0,0,0,0,514
1,0,0,0,0,521
2,0,0,0,0,524
3,0,0,0,0,527
4,0,0,0,0,522
5,0,0,0,0,515
6,0,0,0,0,505
7,0,0,0,0,505
8,0,0,0,0,503
9,0,0,0,0,502
10,0,0,0,0,503
11,0,0,0,0,503
12,0,0,0,0,504
13,0,0,0,0,510
14,0,0,0,0,550
15,0,0,0,0,557
0,0,0,0,0,513
1,0,0,0,0,460
2,0,0,0,0,218
3,0,0,0,0,332
4,0,0,0,0,443
5,0,0,0,0,525
6,0,0,0,0,577
7,0,0,0,0,587
8,0,0,0,0,586
9,0,0,0,0,581
10,0,0,0,0,576
11,0,0,0,0,572
12,0,0,0,0,568
13,0,0,0,0,564
14,0,0,0,0,564
15,0,0,0,0,562
0,0,0,0,0,559
1,0,0,0,0,558
2,0,0,0,0,564
3,0,0,0,0,564
4,0,0,0,0,567
5,0,0,0,0,567
6,0,0,0,0,559
7,0,0,0,0,548
8,0,0,0,0,536
9,0,0,0,0,520
10,0,0,0,0,503
11,0,0,0,0,485
12,0,0,0,0,469
13,0,0,0,0,463
14,0,0,0,0,457
15,0,0,0,0,455
0,0,0,0,0,456
1,0,0,0,0,458
2,0,0,0,0,461
3,0,0,0,0,465
4,0,0,0,0,469
5,0,0,0,0,478
6,0,0,0,0,482
7,0,0,0,0,487
8,0,0,0,0,491
9,0,0,0,0,494
10,0,0,0,0,496
11,0,0,0,0,497
12,0,0,0,0,498
13,0,0,0,0,497
14,0,0,0,0,495
15,0,0,0,0,494
0,0,0,0,0,493
1,0,0,0,0,495
2,0,0,0,0,494
3,0,0,0,0,495
4,0,0,0,0,495
5,0,0,0,0,497
6,0,0,0,0,500
7,0,0,0,0,503
8,0,0,0,0,503
9,0,0,0,0,502
10,0,0,0,0,503
11,0,0,0,0,504
12,0,0,0,0,507
13,0,0,0,0,508
14,0,0,0,0,509
15,0,0,0,0,509
0,0,0,0,0,511
1,0,0,0,0,512
2,0,0,0,0,513
3,0,0,0,0,512
4,0,0,0,0,513
5,0,0,0,0,512
6,0,0,0,0,512
7,0,0,0,0,512
8,0,0,0,0,512
9,0,0,0,0,512
10,0,0,0,0,513
11,0,0,0,0,514
12,0,0,0,0,514
13,0,0,0,0,516
14,0,0,0,0,522
15,0,0,0,0,529
0,0,0,0,0,527
1,0,0,0,0,529
2,0,0,0,0,525
3,0,0,0,0,516
4,0,0,0,0,512
5,0,0,0,0,510
6,0,0,0,0,507
7,0,0,0,0,507
8,0,0,0,0,507
9,0,0,0,0,509
10,0,0,0,0,509
11,0,0,0,0,520
12,0,0,0,0,564
13,0,0,0,0,548
14,0,0,0,0,529
15,0,0,0,0,380
0,0,0,0,0,205
1,0,0,0,0,377
2,0,0,0,0,478
3,0,0,0,0,551
4,0,0,0,0,588
5,0,0,0,0,593
6,0,0,0,0,588
7,0,0,0,0,584
8,0,0,0,0,577
9,0,0,0,0,572
10,0,0,0,0,568
11,0,0,0,0,563
12,0,0,0,0,563
13,0,0,0,0,561
14,0,0,0,0,558
15,0,0,0,0,561
0,0,0,0,0,560
1,0,0,0,0,561
2,0,0,0,0,561
3,0,0,0,0,559
4,0,0,0,0,550
5,0,0,0,0,537
6,0,0,0,0,519
7,0,0,0,0,505
8,0,0,0,0,488
9,0,0,0,0,470
10,0,0,0,0,460
11,0,0,0,0,451
12,0,0,0,0,447
13,0,0,0,0,447
14,0,0,0,0,450
15,0,0,0,0,454
0,0,0,0,0,455
1,0,0,0,0,460
2,0,0,0,0,468
3,0,0,0,0,473
4,0,0,0,0,478
5,0,0,0,0,484
6,0,0,0,0,486
7,0,0,0,0,488
8,0,0,0,0,489
9,0,0,0,0,489
10,0,0,0,0,489
11,0,0,0,0,491
12,0,0,0,0,490
13,0,0,0,0,489
14,0,0,0,0,491
15,0,0,0,0,492
0,0,0,0,0,491
1,0,0,0,0,491
2,0,0,0,0,492
3,0,0,0,0,492
4,0,0,0,0,492
5,0,0,0,0,495
6,0,0,0,0,496
7,0,0,0,0,495
8,0,0,0,0,494
9,0,0,0,0,493
10,0,0,0,0,495
11,0,0,0,0,496
12,0,0,0,0,496
13,0,0,0,0,497
14,0,0,0,0,498
15,0,0,0,0,499
0,0,0,0,0,500
1,0,0,0,0,501
2,0,0,0,0,502
3,0,0,0,0,505
4,0,0,0,0,506
5,0,0,0,0,507
6,0,0,0,0,507
7,0,0,0,0,508
8,0,0,0,0,508
9,0,0,0,0,511
10,0,0,0,0,516
11,0,0,0,0,518
12,0,0,0,0,524
13,0,0,0,0,527
14,0,0,0,0,532
15,0,0,0,0,531
0,0,0,0,0,525
1,0,0,0,0,519
2,0,0,0,0,521
3,0,0,0,0,521
4,0,0,0,0,520
5,0,0,0,0,523
6,0,0,0,0,523
7,0,0,0,0,524
8,0,0,0,0,524
9,0,0,0,0,557
10,0,0,0,0,580
11,0,0,0,0,527
12,0,0,0,0,543
13,0,0,0,0,268
14,0,0,0,0,322
15,0,0,0,0,433
0,0,0,0,0,508
1,0,0,0,0,568
2,0,0,0,0,597
3,0,0,0,0,597
4,0,0,0,0,594
5,0,0,0,0,590
6,0,0,0,0,583
7,0,0,0,0,579
8,0,0,0,0,578
9,0,0,0,0,578
10,0,0,0,0,576
11,0,0,0,0,574
12,0,0,0,0,571
13,0,0,0,0,572
14,0,0,0,0,573
15,0,0,0,0,572
0,0,0,0,0,572
1,0,0,0,0,566
2,0,0,0,0,558
3,0,0,0,0,545
4,0,0,0,0,532
5,0,0,0,0,518
6,0,0,0,0,503
7,0,0,0,0,487
8,0,0,0,0,478
9,0,0,0,0,476
10,0,0,0,0,472
11,0,0,0,0,469
12,0,0,0,0,471
13,0,0,0,0,476
14,0,0,0,0,481
15,0,0,0,0,483
0,0,0,0,0,492
1,0,0,0,0,491
2,0,0,0,0,494
3,0,0,0,0,496
4,0,0,0,0,501
