intervalos,canal1,canal2,canal3,canal4,canal5
2,0,0,0,0,510
3,0,0,0,0,476
4,0,0,0,0,519
5,0,0,0,0,463
6,0,0,0,0,539
7,0,0,0,0,467
8,0,0,0,0,541
9,0,0,0,0,460
10,0,0,0,0,498
11,0,0,0,0,451
12,0,0,0,0,535
13,0,0,0,0,443
14,0,0,0,0,553
15,0,0,0,0,487
0,0,0,0,0,528
1,0,0,0,0,468
2,0,0,0,0,522
3,0,0,0,0,474
4,0,0,0,0,540
5,0,0,0,0,464
6,0,0,0,0,534
7,0,0,0,0,480
8,0,0,0,0,552
9,0,0,0,0,449
10,0,0,0,0,526
11,0,0,0,0,451
12,0,0,0,0,543
13,0,0,0,0,467
14,0,0,0,0,527
15,0,0,0,0,480
0,0,0,0,0,539
1,0,0,0,0,444
2,0,0,0,0,539
3,0,0,0,0,481
4,0,0,0,0,547
5,0,0,0,0,481
6,0,0,0,0,521
7,0,0,0,0,463
8,0,0,0,0,550
9,0,0,0,0,481
10,0,0,0,0,510
11,0,0,0,0,507
12,0,0,0,0,511
13,0,0,0,0,468
14,0,0,0,0,519
15,0,0,0,0,495
0,0,0,0,0,534
1,0,0,0,0,458
2,0,0,0,0,550
3,0,0,0,0,470
4,0,0,0,0,527
5,0,0,0,0,477
6,0,0,0,0,537
7,0,0,0,0,469
8,0,0,0,0,484
9,0,0,0,0,518
10,0,0,0,0,512
11,0,0,0,0,464
12,0,0,0,0,510
13,0,0,0,0,493
14,0,0,0,0,524
15,0,0,0,0,490
0,0,0,0,0,526
1,0,0,0,0,475
2,0,0,0,0,539
3,0,0,0,0,491
4,0,0,0,0,521
5,0,0,0,0,472
6,0,0,0,0,541
7,0,0,0,0,469
8,0,0,0,0,544
9,0,0,0,0,469
10,0,0,0,0,552
11,0,0,0,0,479
12,0,0,0,0,543
13,0,0,0,0,473
14,0,0,0,0,500
15,0,0,0,0,483
0,0,0,0,0,546
1,0,0,0,0,499
2,0,0,0,0,483
3,0,0,0,0,508
4,0,0,0,0,510
5,0,0,0,0,481
6,0,0,0,0,509
7,0,0,0,0,479
8,0,0,0,0,514
9,0,0,0,0,479
10,0,0,0,0,517
11,0,0,0,0,471
12,0,0,0,0,531
13,0,0,0,0,490
14,0,0,0,0,547
15,0,0,0,0,478
0,0,0,0,0,521
1,0,0,0,0,483
2,0,0,0,0,524
3,0,0,0,0,487
4,0,0,0,0,488
5,0,0,0,0,496
6,0,0,0,0,502
7,0,0,0,0,479
8,0,0,0,0,531
9,0,0,0,0,478
10,0,0,0,0,548
11,0,0,0,0,471
12,0,0,0,0,521
13,0,0,0,0,495
14,0,0,0,0,528
15,0,0,0,0,512
0,0,0,0,0,508
1,0,0,0,0,462
2,0,0,0,0,598
3,0,0,0,0,438
4,0,0,0,0,514
5,0,0,0,0,417
6,0,0,0,0,681
7,0,0,0,0,568
8,0,0,0,0,538
9,0,0,0,0,427
10,0,0,0,0,625
11,0,0,0,0,556
12,0,0,0,0,576
13,0,0,0,0,486
14,0,0,0,0,637
15,0,0,0,0,341
0,0,0,0,0,643
1,0,0,0,0,437
2,0,0,0,0,251
3,0,0,0,0,1020
4,0,0,0,0,321
5,0,0,0,0,581
6,0,0,0,0,542
7,0,0,0,0,278
8,0,0,0,0,839
9,0,0,0,0,1022
10,0,0,0,0,278
11,0,0,0,0,608
12,0,0,0,0,401
13,0,0,0,0,699
14,0,0,0,0,209
15,0,0,0,0,74
0,0,0,0,0,1022
1,0,0,0,0,0
2,0,0,0,0,685
3,0,0,0,0,895
4,0,0,0,0,688
5,0,0,0,0,216
6,0,0,0,0,1022
7,0,0,0,0,0
8,0,0,0,0,597
9,0,0,0,0,935
10,0,0,0,0,230
11,0,0,0,0,567
12,0,0,0,0,0
13,0,0,0,0,1022
14,0,0,0,0,245
15,0,0,0,0,380
0,0,0,0,0,439
1,0,0,0,0,768
2,0,0,0,0,371
3,0,0,0,0,222
4,0,0,0,0,904
5,0,0,0,0,882
6,0,0,0,0,0
7,0,0,0,0,839
8,0,0,0,0,254
9,0,0,0,0,376
10,0,0,0,0,510
11,0,0,0,0,546
12,0,0,0,0,617
13,0,0,0,0,367
14,0,0,0,0,325
15,0,0,0,0,1022
0,0,0,0,0,141
1,0,0,0,0,358
2,0,0,0,0,22
3,0,0,0,0,636
4,0,0,0,0,496
5,0,0,0,0,447
6,0,0,0,0,244
7,0,0,0,0,1022
8,0,0,0,0,1022
9,0,0,0,0,504
10,0,0,0,0,1022
11,0,0,0,0,271
12,0,0,0,0,449
13,0,0,0,0,702
14,0,0,0,0,803
15,0,0,0,0,421
0,0,0,0,0,310
1,0,0,0,0,1022
2,0,0,0,0,537
3,0,0,0,0,900
4,0,0,0,0,942
5,0,0,0,0,523
6,0,0,0,0,394
7,0,0,0,0,1022
8,0,0,0,0,509
9,0,0,0,0,731
10,0,0,0,0,459
11,0,0,0,0,944
12,0,0,0,0,412
13,0,0,0,0,369
14,0,0,0,0,615
15,0,0,0,0,1022
0,0,0,0,0,510
1,0,0,0,0,889
2,0,0,0,0,304
3,0,0,0,0,996
4,0,0,0,0,605
5,0,0,0,0,292
6,0,0,0,0,420
7,0,0,0,0,455
8,0,0,0,0,667
9,0,0,0,0,466
10,0,0,0,0,707
11,0,0,0,0,276
12,0,0,0,0,698
13,0,0,0,0,491
14,0,0,0,0,148
15,0,0,0,0,666
0,0,0,0,0,452
1,0,0,0,0,497
2,0,0,0,0,700
3,0,0,0,0,558
4,0,0,0,0,627
5,0,0,0,0,523
6,0,0,0,0,675
7,0,0,0,0,552
8,0,0,0,0,508
9,0,0,0,0,378
10,0,0,0,0,336
11,0,0,0,0,635
12,0,0,0,0,510
13,0,0,0,0,487
14,0,0,0,0,619
15,0,0,0,0,531
0,0,0,0,0,597
1,0,0,0,0,497
2,0,0,0,0,545
3,0,0,0,0,451
4,0,0,0,0,557
5,0,0,0,0,437
6,0,0,0,0,480
7,0,0,0,0,465
8,0,0,0,0,559
9,0,0,0,0,304
10,0,0,0,0,583
11,0,0,0,0,468
12,0,0,0,0,551
13,0,0,0,0,497
14,0,0,0,0,583
15,0,0,0,0,423
0,0,0,0,0,521
1,0,0,0,0,292
2,0,0,0,0,548
3,0,0,0,0,524
4,0,0,0,0,624
5,0,0,0,0,500
6,0,0,0,0,599
7,0,0,0,0,483
8,0,0,0,0,584
9,0,0,0,0,486
10,0,0,0,0,557
11,0,0,0,0,457
12,0,0,0,0,565
13,0,0,0,0,476
14,0,0,0,0,585
15,0,0,0,0,460
0,0,0,0,0,545
1,0,0,0,0,468
2,0,0,0,0,567
3,0,0,0,0,470
4,0,0,0,0,548
5,0,0,0,0,460
6,0,0,0,0,592
7,0,0,0,0,491
8,0,0,0,0,568
9,0,0,0,0,471
10,0,0,0,0,582
11,0,0,0,0,472
12,0,0,0,0,559
13,0,0,0,0,450
14,0,0,0,0,576
15,0,0,0,0,464
0,0,0,0,0,583
1,0,0,0,0,463
2,0,0,0,0,601
3,0,0,0,0,452
4,0,0,0,0,593
5,0,0,0,0,465
6,0,0,0,0,577
7,0,0,0,0,449
8,0,0,0,0,588
9,0,0,0,0,455
10,0,0,0,0,593
11,0,0,0,0,446
12,0,0,0,0,583
13,0,0,0,0,436
14,0,0,0,0,581
15,0,0,0,0,444
0,0,0,0,0,607
1,0,0,0,0,445
2,0,0,0,0,585
3,0,0,0,0,453
4,0,0,0,0,563
5,0,0,0,0,465
6,0,0,0,0,562
7,0,0,0,0,456
8,0,0,0,0,576
9,0,0,0,0,453
10,0,0,0,0,561
11,0,0,0,0,460
12,0,0,0,0,582
13,0,0,0,0,450
14,0,0,0,0,554
15,0,0,0,0,480
0,0,0,0,0,566
1,0,0,0,0,497
2,0,0,0,0,554
3,0,0,0,0,462
4,0,0,0,0,561
5,0,0,0,0,475
6,0,0,0,0,556
7,0,0,0,0,462
8,0,0,0,0,528
9,0,0,0,0,496
10,0,0,0,0,559
11,0,0,0,0,461
12,0,0,0,0,568
13,0,0,0,0,488
14,0,0,0,0,540
15,0,0,0,0,502
0,0,0,0,0,569
1,0,0,0,0,440
2,0,0,0,0,542
3,0,0,0,0,497
4,0,0,0,0,531
5,0,0,0,0,493
6,0,0,0,0,540
7,0,0,0,0,484
8,0,0,0,0,545
9,0,0,0,0,473
10,0,0,0,0,544
11,0,0,0,0,452
12,0,0,0,0,504
13,0,0,0,0,494
14,0,0,0,0,512
15,0,0,0,0,503
0,0,0,0,0,532
1,0,0,0,0,482
2,0,0,0,0,535
3,0,0,0,0,500
4,0,0,0,0,534
5,0,0,0,0,532
6,0,0,0,0,549
7,0,0,0,0,513
8,0,0,0,0,514
9,0,0,0,0,495
10,0,0,0,0,543
11,0,0,0,0,486
12,0,0,0,0,523
13,0,0,0,0,492
14,0,0,0,0,558
15,0,0,0,0,482
0,0,0,0,0,568
1,0,0,0,0,481
2,0,0,0,0,551
3,0,0,0,0,476
4,0,0,0,0,543
5,0,0,0,0,479
6,0,0,0,0,547
7,0,0,0,0,507
8,0,0,0,0,594
9,0,0,0,0,484
10,0,0,0,0,535
11,0,0,0,0,497
12,0,0,0,0,523
13,0,0,0,0,459
14,0,0,0,0,540
15,0,0,0,0,524
0,0,0,0,0,466
1,0,0,0,0,487
2,0,0,0,0,519
3,0,0,0,0,504
4,0,0,0,0,514
5,0,0,0,0,457
6,0,0,0,0,530
7,0,0,0,0,473
8,0,0,0,0,546
9,0,0,0,0,472
10,0,0,0,0,551
11,0,0,0,0,544
12,0,0,0,0,493
13,0,0,0,0,557
14,0,0,0,0,510
15,0,0,0,0,454
0,0,0,0,0,583
1,0,0,0,0,396
2,0,0,0,0,731
3,0,0,0,0,329
4,0,0,0,0,535
5,0,0,0,0,607
6,0,0,0,0,862
7,0,0,0,0,715
8,0,0,0,0,135
9,0,0,0,0,897
10,0,0,0,0,419
11,0,0,0,0,799
12,0,0,0,0,887
13,0,0,0,0,272
14,0,0,0,0,639
15,0,0,0,0,279
0,0,0,0,0,698
1,0,0,0,0,750
2,0,0,0,0,480
3,0,0,0,0,783
4,0,0,0,0,170
5,0,0,0,0,648
6,0,0,0,0,592
7,0,0,0,0,643
8,0,0,0,0,668
9,0,0,0,0,280
10,0,0,0,0,530
11,0,0,0,0,500
12,0,0,0,0,568
13,0,0,0,0,906
14,0,0,0,0,387
15,0,0,0,0,576
0,0,0,0,0,683
1,0,0,0,0,145
2,0,0,0,0,860
3,0,0,0,0,0
4,0,0,0,0,1022
5,0,0,0,0,547
6,0,0,0,0,1022
7,0,0,0,0,0
8,0,0,0,0,814
9,0,0,0,0,235
10,0,0,0,0,437
11,0,0,0,0,679
12,0,0,0,0,590
13,0,0,0,0,399
14,0,0,0,0,681
15,0,0,0,0,320
0,0,0,0,0,593
1,0,0,0,0,176
2,0,0,0,0,932
3,0,0,0,0,538
4,0,0,0,0,325
5,0,0,0,0,1022
6,0,0,0,0,597
7,0,0,0,0,292
8,0,0,0,0,829
9,0,0,0,0,127
10,0,0,0,0,427
11,0,0,0,0,1023
12,0,0,0,0,339
13,0,0,0,0,625
14,0,0,0,0,1022
15,0,0,0,0,227
0,0,0,0,0,492
1,0,0,0,0,0
2,0,0,0,0,315
3,0,0,0,0,408
4,0,0,0,0,1022
5,0,0,0,0,622
6,0,0,0,0,630
7,0,0,0,0,1023
8,0,0,0,0,444
9,0,0,0,0,290
10,0,0,0,0,465
11,0,0,0,0,506
12,0,0,0,0,659
13,0,0,0,0,646
14,0,0,0,0,622
15,0,0,0,0,524
0,0,0,0,0,1017
1,0,0,0,0,378
2,0,0,0,0,699
3,0,0,0,0,369
4,0,0,0,0,525
5,0,0,0,0,232
6,0,0,0,0,252
7,0,0,0,0,632
8,0,0,0,0,968
9,0,0,0,0,488
10,0,0,0,0,556
11,0,0,0,0,334
12,0,0,0,0,1022
13,0,0,0,0,225
14,0,0,0,0,642
15,0,0,0,0,0
0,0,0,0,0,418
1,0,0,0,0,677
2,0,0,0,0,620
3,0,0,0,0,161
4,0,0,0,0,411
5,0,0,0,0,642
6,0,0,0,0,595
7,0,0,0,0,419
8,0,0,0,0,630
9,0,0,0,0,995
10,0,0,0,0,627
11,0,0,0,0,549
12,0,0,0,0,367
13,0,0,0,0,135
14,0,0,0,0,492
15,0,0,0,0,320
0,0,0,0,0,351
1,0,0,0,0,651
2,0,0,0,0,590
3,0,0,0,0,966
4,0,0,0,0,396
