intervalos,canal1,canal2,canal3,canal4,canal5
14,0,0,0,0,247
15,0,0,0,0,248
0,0,0,0,0,247
1,0,0,0,0,247
2,0,0,0,0,247
3,0,0,0,0,247
4,0,0,0,0,247
5,0,0,0,0,247
6,0,0,0,0,247
7,0,0,0,0,247
8,0,0,0,0,247
9,0,0,0,0,247
10,0,0,0,0,247
11,0,0,0,0,247
12,0,0,0,0,247
13,0,0,0,0,247
14,0,0,0,0,247
15,0,0,0,0,247
0,0,0,0,0,246
1,0,0,0,0,246
2,0,0,0,0,246
3,0,0,0,0,246
4,0,0,0,0,246
5,0,0,0,0,246
6,0,0,0,0,246
7,0,0,0,0,246
8,0,0,0,0,246
9,0,0,0,0,246
10,0,0,0,0,246
11,0,0,0,0,246
12,0,0,0,0,245
13,0,0,0,0,245
14,0,0,0,0,245
15,0,0,0,0,245
0,0,0,0,0,245
1,0,0,0,0,245
2,0,0,0,0,245
3,0,0,0,0,245
4,0,0,0,0,245
5,0,0,0,0,244
6,0,0,0,0,244
7,0,0,0,0,244
8,0,0,0,0,244
9,0,0,0,0,244
10,0,0,0,0,244
11,0,0,0,0,244
12,0,0,0,0,244
13,0,0,0,0,244
14,0,0,0,0,244
15,0,0,0,0,244
0,0,0,0,0,244
1,0,0,0,0,243
2,0,0,0,0,243
3,0,0,0,0,242
4,0,0,0,0,242
5,0,0,0,0,242
6,0,0,0,0,242
7,0,0,0,0,242
8,0,0,0,0,242
9,0,0,0,0,242
10,0,0,0,0,242
11,0,0,0,0,243
12,0,0,0,0,242
13,0,0,0,0,242
14,0,0,0,0,242
15,0,0,0,0,242
0,0,0,0,0,242
1,0,0,0,0,242
2,0,0,0,0,242
3,0,0,0,0,242
4,0,0,0,0,242
5,0,0,0,0,242
6,0,0,0,0,242
7,0,0,0,0,242
8,0,0,0,0,241
9,0,0,0,0,241
10,0,0,0,0,241
11,0,0,0,0,241
12,0,0,0,0,241
13,0,0,0,0,241
14,0,0,0,0,241
15,0,0,0,0,241
0,0,0,0,0,241
1,0,0,0,0,241
2,0,0,0,0,241
3,0,0,0,0,241
4,0,0,0,0,241
5,0,0,0,0,240
6,0,0,0,0,240
7,0,0,0,0,240
8,0,0,0,0,240
9,0,0,0,0,240
10,0,0,0,0,240
11,0,0,0,0,240
12,0,0,0,0,240
13,0,0,0,0,240
14,0,0,0,0,240
15,0,0,0,0,240
0,0,0,0,0,240
1,0,0,0,0,239
2,0,0,0,0,239
3,0,0,0,0,238
4,0,0,0,0,236
5,0,0,0,0,235
6,0,0,0,0,234
7,0,0,0,0,233
8,0,0,0,0,232
9,0,0,0,0,232
10,0,0,0,0,231
11,0,0,0,0,231
12,0,0,0,0,230
13,0,0,0,0,230
14,0,0,0,0,229
15,0,0,0,0,229
0,0,0,0,0,227
1,0,0,0,0,227
2,0,0,0,0,226
3,0,0,0,0,225
4,0,0,0,0,225
5,0,0,0,0,224
6,0,0,0,0,223
7,0,0,0,0,223
8,0,0,0,0,222
9,0,0,0,0,222
10,0,0,0,0,222
11,0,0,0,0,221
12,0,0,0,0,220
13,0,0,0,0,217
14,0,0,0,0,214
15,0,0,0,0,212
0,0,0,0,0,211
1,0,0,0,0,209
2,0,0,0,0,207
3,0,0,0,0,206
4,0,0,0,0,204
5,0,0,0,0,203
6,0,0,0,0,202
7,0,0,0,0,201
8,0,0,0,0,199
9,0,0,0,0,198
10,0,0,0,0,197
11,0,0,0,0,200
12,0,0,0,0,206
13,0,0,0,0,209
14,0,0,0,0,206
15,0,0,0,0,203
0,0,0,0,0,200
1,0,0,0,0,201
2,0,0,0,0,207
3,0,0,0,0,212
4,0,0,0,0,216
5,0,0,0,0,220
6,0,0,0,0,222
7,0,0,0,0,225
8,0,0,0,0,226
9,0,0,0,0,228
10,0,0,0,0,229
11,0,0,0,0,230
12,0,0,0,0,231
13,0,0,0,0,231
14,0,0,0,0,232
15,0,0,0,0,233
0,0,0,0,0,233
1,0,0,0,0,233
2,0,0,0,0,233
3,0,0,0,0,234
4,0,0,0,0,234
5,0,0,0,0,234
6,0,0,0,0,234
7,0,0,0,0,235
8,0,0,0,0,234
9,0,0,0,0,235
10,0,0,0,0,234
11,0,0,0,0,235
12,0,0,0,0,235
13,0,0,0,0,235
14,0,0,0,0,235
15,0,0,0,0,235
0,0,0,0,0,235
1,0,0,0,0,235
2,0,0,0,0,235
