intervalos,canal1,canal2,canal3,canal4,canal5
10,0,0,0,0,235
11,0,0,0,0,235
12,0,0,0,0,235
13,0,0,0,0,235
14,0,0,0,0,235
15,0,0,0,0,235
0,0,0,0,0,235
1,0,0,0,0,235
2,0,0,0,0,235
3,0,0,0,0,235
4,0,0,0,0,235
5,0,0,0,0,235
6,0,0,0,0,235
7,0,0,0,0,235
8,0,0,0,0,235
9,0,0,0,0,235
10,0,0,0,0,234
11,0,0,0,0,234
12,0,0,0,0,234
13,0,0,0,0,234
14,0,0,0,0,234
15,0,0,0,0,234
0,0,0,0,0,234
1,0,0,0,0,234
2,0,0,0,0,234
3,0,0,0,0,234
4,0,0,0,0,234
5,0,0,0,0,234
6,0,0,0,0,234
7,0,0,0,0,234
8,0,0,0,0,234
9,0,0,0,0,234
10,0,0,0,0,234
11,0,0,0,0,234
12,0,0,0,0,234
13,0,0,0,0,234
14,0,0,0,0,234
15,0,0,0,0,234
0,0,0,0,0,234
1,0,0,0,0,234
2,0,0,0,0,234
3,0,0,0,0,234
4,0,0,0,0,234
5,0,0,0,0,234
6,0,0,0,0,234
7,0,0,0,0,234
8,0,0,0,0,234
9,0,0,0,0,234
10,0,0,0,0,234
11,0,0,0,0,234
12,0,0,0,0,234
13,0,0,0,0,234
14,0,0,0,0,234
15,0,0,0,0,234
0,0,0,0,0,234
1,0,0,0,0,234
2,0,0,0,0,234
3,0,0,0,0,234
4,0,0,0,0,234
5,0,0,0,0,234
6,0,0,0,0,234
7,0,0,0,0,234
8,0,0,0,0,234
9,0,0,0,0,234
10,0,0,0,0,233
11,0,0,0,0,233
12,0,0,0,0,233
13,0,0,0,0,233
14,0,0,0,0,233
15,0,0,0,0,233
0,0,0,0,0,233
1,0,0,0,0,233
2,0,0,0,0,233
3,0,0,0,0,232
4,0,0,0,0,232
5,0,0,0,0,232
6,0,0,0,0,232
7,0,0,0,0,232
8,0,0,0,0,232
9,0,0,0,0,231
10,0,0,0,0,231
11,0,0,0,0,231
12,0,0,0,0,231
13,0,0,0,0,231
14,0,0,0,0,231
15,0,0,0,0,231
0,0,0,0,0,231
1,0,0,0,0,231
2,0,0,0,0,230
3,0,0,0,0,230
4,0,0,0,0,230
5,0,0,0,0,230
6,0,0,0,0,231
7,0,0,0,0,237
8,0,0,0,0,244
9,0,0,0,0,253
10,0,0,0,0,259
11,0,0,0,0,265
12,0,0,0,0,271
13,0,0,0,0,275
14,0,0,0,0,279
15,0,0,0,0,281
0,0,0,0,0,284
1,0,0,0,0,286
2,0,0,0,0,287
3,0,0,0,0,289
4,0,0,0,0,290
5,0,0,0,0,290
6,0,0,0,0,289
7,0,0,0,0,287
8,0,0,0,0,280
9,0,0,0,0,271
10,0,0,0,0,263
11,0,0,0,0,257
12,0,0,0,0,252
13,0,0,0,0,248
14,0,0,0,0,244
15,0,0,0,0,242
0,0,0,0,0,240
1,0,0,0,0,238
2,0,0,0,0,236
3,0,0,0,0,234
4,0,0,0,0,233
5,0,0,0,0,234
6,0,0,0,0,252
7,0,0,0,0,272
8,0,0,0,0,290
9,0,0,0,0,305
10,0,0,0,0,319
11,0,0,0,0,333
12,0,0,0,0,345
13,0,0,0,0,356
14,0,0,0,0,364
15,0,0,0,0,372
0,0,0,0,0,379
1,0,0,0,0,384
2,0,0,0,0,389
3,0,0,0,0,393
4,0,0,0,0,397
5,0,0,0,0,400
6,0,0,0,0,402
7,0,0,0,0,405
8,0,0,0,0,406
9,0,0,0,0,408
10,0,0,0,0,409
11,0,0,0,0,411
12,0,0,0,0,412
13,0,0,0,0,414
14,0,0,0,0,415
15,0,0,0,0,416
0,0,0,0,0,417
1,0,0,0,0,418
2,0,0,0,0,419
3,0,0,0,0,420
4,0,0,0,0,421
5,0,0,0,0,422
6,0,0,0,0,422
7,0,0,0,0,423
8,0,0,0,0,423
9,0,0,0,0,424
10,0,0,0,0,424
11,0,0,0,0,424
12,0,0,0,0,422
13,0,0,0,0,404
14,0,0,0,0,372
15,0,0,0,0,347
0,0,0,0,0,326
1,0,0,0,0,308
2,0,0,0,0,294
3,0,0,0,0,283
4,0,0,0,0,273
5,0,0,0,0,265
6,0,0,0,0,258
7,0,0,0,0,253
